City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Tuy Hoa,VN,13.08,109.3,79.14,78,85,5.97,overcast clouds
323,Havre-Saint-Pierre,CA,50.23,-63.6,68.0,77,1,8.05,clear sky
324,Kataysk,RU,56.29,62.58,64.2,85,53,8.01,broken clouds
325,Mzimba,MW,-11.9,33.6,57.63,71,25,10.04,scattered clouds
326,Nanortalik,GL,60.14,-45.24,47.12,92,65,11.9,broken clouds
327,Gatbo,PH,13.58,123.38,76.23,87,100,2.98,overcast clouds
328,Chippewa Falls,US,44.94,-91.39,68.0,60,90,10.29,overcast clouds
329,Paamiut,GL,61.99,-49.67,44.89,96,100,11.65,light rain
330,Krasnyy Bor,RU,59.68,30.67,59.0,87,90,2.24,light intensity shower rain
331,Boyolangu,ID,-8.12,111.89,70.99,87,97,2.55,overcast clouds
332,Provideniya,RU,64.38,-173.3,51.8,62,100,8.95,overcast clouds
333,Mikhaylovka,RU,50.06,43.24,59.54,75,3,2.77,clear sky
334,Augusta,DE,48.37,10.88,63.0,100,100,4.7,light rain
335,Whitianga,NZ,-36.83,175.7,55.99,91,57,3.0,light rain
336,Panama City,PA,8.99,-79.52,86.0,79,40,9.17,scattered clouds
337,San Francisco,US,37.77,-122.42,73.99,56,20,20.8,few clouds
338,Arman,RU,59.7,150.17,61.84,60,0,0.49,clear sky
339,Qostanay,KZ,53.17,63.58,73.4,43,72,11.18,broken clouds
340,Hoa Binh,VN,20.81,105.34,78.8,88,75,8.05,light rain
341,Vung Tau,VN,10.35,107.08,81.81,80,100,17.2,light rain
342,Porto Novo,BJ,6.5,2.6,77.0,83,20,12.75,few clouds
343,Niteroi,BR,-22.88,-43.1,72.0,68,40,12.75,scattered clouds
344,Bud,US,39.45,-86.18,78.8,61,75,9.22,broken clouds
345,Cabo San Lucas,MX,22.89,-109.91,89.6,49,20,6.93,few clouds
346,Henties Bay,NA,-22.12,14.28,70.0,23,0,1.99,clear sky
347,Kodinsk,RU,58.69,99.18,59.14,77,100,2.39,overcast clouds
348,San,ML,13.3,-4.9,83.28,65,87,8.03,overcast clouds
349,Jieshi,CN,22.81,115.83,79.63,88,100,4.05,moderate rain
350,Tual,ID,-5.67,132.75,77.38,82,5,18.86,clear sky
351,North Bend,US,43.41,-124.22,81.0,68,1,9.17,clear sky
352,Kununurra,AU,-15.77,128.73,53.6,43,24,2.24,few clouds
353,Mackay,AU,-21.15,149.2,59.0,93,90,5.82,overcast clouds
354,Havelock,US,34.88,-76.9,86.0,80,0,10.0,clear sky
355,Colon,PA,9.36,-79.9,86.0,74,100,7.0,light rain
356,Nampula,MZ,-15.12,39.27,61.75,98,23,6.78,few clouds
357,Udachnyy,RU,66.42,112.4,64.4,45,100,4.47,overcast clouds
358,Marsa Matruh,EG,31.35,27.25,78.8,83,20,8.05,few clouds
359,Lazaro Cardenas,MX,17.96,-102.2,87.17,69,0,11.36,clear sky
360,Alyangula,AU,-13.85,136.42,64.4,100,75,8.14,broken clouds
